artist,score,weighted_score,url
Questlove - 46 min Version,1,1,https://www.youtube.com/watch?v=FwWR-SGIsBU
D.R.A.M.,1,1,https://www.youtube.com/watch?v=NwjN3UCBW14
Ex Hex,5,5,https://www.youtube.com/watch?v=hPqPvAzPRZY
mr. Gnome,5,5,https://www.youtube.com/watch?v=npSC_WsCjF8
Diego Garcia,1,1,https://www.youtube.com/watch?v=DjmHpDI89v8
Shigeto,5,5,https://www.youtube.com/watch?v=DduNRXh3h3o
Fanfare Ciocarlia,1,1,https://www.youtube.com/watch?v=2mHFjJszcpU
Laura Gibson,6,12,https://www.youtube.com/watch?v=rfRQhEOIu28
Cosmos,6,6,https://www.youtube.com/watch?v=WF_fGbPP2OA
Mr Silla,1,1,https://www.youtube.com/watch?v=Rkjd96-I5gk
Wovoka Gentle,1,1,https://www.youtube.com/watch?v=a5dz3BDY9PY
tUne-yArDs,1,1,https://www.youtube.com/watch?v=c8FML8QhcZo
Hamilton Leithauser,13,26,https://www.youtube.com/watch?v=iPJlmxnjnOc
Mat Kerekes,5,5,https://www.youtube.com/watch?v=PUvIo9TUx10
Minor Characters,8,8,https://www.youtube.com/watch?v=v5bHha8C9Lk
Jukebox the Ghost,6,6,https://www.youtube.com/watch?v=RlgyZPgfT_0
Acrassicauda,5,5,https://www.youtube.com/watch?v=bR-rF3qCMCo
"Bonnie ""Prince"" Billy",4,4,https://www.youtube.com/watch?v=bAtrCRvhtP4
Big Ups,12,24,https://www.youtube.com/watch?v=jSKJi-ry-Eo
Midday Veil,9,9,https://www.youtube.com/watch?v=-PaubCpM6TE
Sisters,4,4,https://www.youtube.com/watch?v=n3h2uPjkJno
The Elected,4,4,https://www.youtube.com/watch?v=LjuFeuHWgNQ
Eli Roth,1,1,https://www.youtube.com/watch?v=l70KVB5Dddo
Christopher Owens,9,9,https://www.youtube.com/watch?v=ron_eqjF2h4
Billy Bragg & Joe Henry,6,12,https://www.youtube.com/watch?v=AdBRb8iSfSo
Nai Palm,2,2,https://www.youtube.com/watch?v=ePCZNvhuUsw
Brandi Shearer,1,1,https://www.youtube.com/watch?v=RmnSl-FXoo4
Monsieur Periné,2,4,https://www.youtube.com/watch?v=bR8P_iXgwzo
Sonny And The Sunsets,1,1,https://www.youtube.com/watch?v=dlV3QeX8RnI
Wolf Alice,10,20,https://www.youtube.com/watch?v=nYN2SDjnNW8
Rodriquez,1,1,https://www.youtube.com/watch?v=KPn7ZSmQEk8
Sweeping Exits,5,5,https://www.youtube.com/watch?v=H0qeX0uJav4
Fairchild,5,5,https://www.youtube.com/watch?v=oQKR0hQxlYg
Vinyl Theatre,5,5,https://www.youtube.com/watch?v=ng7q5fYs35Q
Seattle Rock Orchestra Quintet with Júníus Meyvant,1,1,https://www.youtube.com/watch?v=01WyUQSGHqU
Black Marble,2,2,https://www.youtube.com/watch?v=xI6sdmR-iHQ
Logic,3,6,https://www.youtube.com/watch?v=8mXi5UWey54
Male Gaze,5,5,https://www.youtube.com/watch?v=VAB7VpVwjwM
